Dolphin ID,Dolphin Name,Temporary Dolphin Ind,Sex,Sex Certainty,Mother ID,Father ID,Father ID Certainty,Father Notes,Haplotype,Haplotype Certainty,Haplotype Kin ID Based On,Haplotype Kin DNA Sample Based On,Haplotype Researcher,Haplotype Notes,Birth Date Accuracy,Birth Date,Birth Date Earliest,Birth Date Latest,Birth Date Primary Reason,Birth Date Secondary Reason,Birth Date Primary Assigner,Birth Date Secondary Assigner,Birth Notes,Death Date Accuracy,Death Date,Death Date Primary Reason,Death Date Secondary Reason,Death Date Calc Type,Death Date Primary Assigner,Death Date Secondary Assigner,Death Notes,Weaning Date Accuracy,Weaning Date,Weaning Date Primary Reason,Weaning Date Secondary Reason,Weaning Date Calc Type,Weaning Date Primary Assigner,Weaning Date Secondary Assigner,Weaning Age Known,Weaning Notes,Last Seen Year,Dolphin Notes
RAI,RAISIN,False,,,TWO,,,haplotype assigned based on haplotype of mother,D,,,,,,MONTH ESTIMATE,1999-02-01,,,INFANT FIRST SIGHT,,JM,,NO SIZE INFORMATION; JM ESTIMATED AGE BASED ON LATER SIGHTINGS-RAI VERY SMALL.,DAY ESTIMATE,1999-06-27,DEAD PREWEANING,,MIDPOINT,JM,,dead,,,,,,,,DIED PREWEANING,,1999,
RAL,RALLY,False,,,BTT,,,haplotype assigned based on haplotype of mother,E,,,,,,YEAR ESTIMATE,1995-05-01,,,MOTHER FIRST SIGHT WITH CALF,,JM,,NO SIZE INFORMATION,YEAR ESTIMATE,1997-12-24,SIGHTING RECORD POOR,BIRTH DATE UNCERTAIN,,JM,,,,,,,,,,NO,,1997,
RAN,RANT,False,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1976-11-01,,,REPRODUCTIVE AGE,91CAT,,,Photo quality poor so we cannot improve age estimate.,YEAR ESTIMATE,2002-05-01,RARELY SIGHTED,OVER 3 YEARS,DEFAULT DATE,EK,JM,She could have changed fin but there are big gaps in her sighting record. Seen apparently in 1991 and 1996 only. 1991 records are not in surveys.,,,,,,,,,,,
RAP,RAPP,False,FEMALE,HIGH,REP,,,maternal relative,A,,,,,,YEAR ESTIMATE,1993-11-01,,,MOTHER FIRST SIGHT WITH CALF,,JM,,OLDER CALF IN 96,,,,,,,,,YEAR ESTIMATE,1998-11-12,,REDUCED MC ASSOCIATION,MIDPOINT,JM,,NO,"SEEN BP IN 98, BUT THEN BIG GAP IN SIGHTINGS, GUESSING WAS WEANED IN 98",2004,
RAS,RASTUS,False,MALE,HIGH,MIN,,,,A,,,,,,YEAR ESTIMATE,1978-11-01,1977-11-01,1979-11-01,91CAT,SSSS,EK,JM,Seen as young adult and since Mini is his mother he must have been born around 1978.,,,,,,,,,,,,,,,,,,2006,
RAV,RAVE,False,,,RAN,,,,,,,,,,MONTH ESTIMATE,1990-11-01,1990-10-01,1990-12-01,INFANT FIRST SIGHT,SPRING SUMMER YOY,JM,,AFR photo from 28Jan91 shows very young calf. We have no survey record for RAN and RAV. Could not be younger than 2 months in 28Jan91 photo.,YEAR ESTIMATE,1992-05-01,,BIRTH DATE UNCERTAIN,DEFAULT DATE,JM,,No sightings from 1991-96,,,,,,,,NO,,1991,
RAW,RAW,False,,,RSH,,,haplotype assigned based on haplotype of mother,H,,,,,,MONTH ESTIMATE,1997-11-01,,,SPRING SUMMER YOY,,MRH,,YOY,YEAR ESTIMATE,2000-01-24,RARELY SIGHTED,GAP,,JM,,,,,,,,,,,,1998,
RAZ,RAZOR,False,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1959-11-01,1954-11-01,1959-11-01,SSSS,91CAT,EK,JM,She was very heavily specked in early 90s so we pushed her birthdate back a few years.,MONTH ESTIMATE,1994-05-01,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,EK,JM,,,,,,,,,,,1993,
RBB,RUBBLE,False,,,FNT,,,haplotype assigned based on haplotype of mother,A,,,,,,MONTH ESTIMATE,2003-11-15,,,INFANT FIRST SIGHT,,QAG,,"DF ERECT, NO FETAL STRIPES, NORMAL WEIGHT, NORMAL SURFACINGS",,,,,,JM,,,MONTH ESTIMATE,2007-08-25,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,RBB NOT SIGHTED POST WEANING,2004,
RBD,RUBADUB,False,FEMALE,HIGH,SKR,,,haplotype assigned based on haplotype of mother,H,,,,,,MONTH ESTIMATE,1999-11-01,1999-10-15,2000-01-01,PREGNANCY,INFANT FIRST SIGHT,EK,JM,RBD AT LEAST 1.5 YEARS: JM ON 26MAY02; SKR OBVIOUSLY PREGNANT IN OCT. 99,,,,,,,,,WEEK ESTIMATE,2003-08-18,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,JM DID FOLLOW 2-AUG-03 AND ALTHOUGH NO BP DURING FLLW- THEY WERE IN BP AT END OF DAY.,2004,
RBM,RUBIDIUM,False,FEMALE,HIGH,,,,,A,,,,,,YEAR ESTIMATE,1984-11-01,1960-11-01,1984-11-01,REPRODUCTIVE AGE,,EK,,Only one sighting of RBM with an older calf MNG.,YEAR ESTIMATE,2003-05-01,OVER 3 YEARS,,DEFAULT DATE,EK,JM,Only seen once.,,,,,,,,,,,"RBM is distinctive and might still be out there, but our first and only sighting of her was in 1999 when she had a dependent calf named MNG."
RBN,ROBIN,False,FEMALE,HIGH,CKL,,,,,,,,,,YEAR ESTIMATE,2011-11-01,2011-05-01,2012-05-01,GAP,,EK,,"JM-LOOKS LIKE AN OLDER CALF, ~2 YRS OLD",,,,,,,,,MONTH ESTIMATE,2015-12-28,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,NO,weaning age not exact because bday not known,,
RBX,RUBIX,False,UNKNOWN,,RHO,,,,A,HIGH,,,,,DAY ESTIMATE,2020-12-04,2020-11-25,2020-12-08,INFANT FIRST SIGHT,,JM,VF,"Rhombus last seen 14-Jun-20, Rubix first seen 10-Dec-20. Based on photos calf is likely no more than a week old",WEEK ESTIMATE,2021-02-25,DEAD PREWEANING,,MIDPOINT,VF,JM,"Rubix was last seen by Simonetta on 14-Feb-21. She then said she saw Rhombus possibly without Rubix at the end of February, but didn’t give an exact day. And then updated that she saw Rhombus definitely without Rubix on 9-Mar-21",,,,,,,,,,,
RDC,RADICAL,False,FEMALE,HIGH,GRV,PIK,HIGH,SNPs both parents.,D,,,,,,WEEK ESTIMATE,2006-04-01,,,INFANT FIRST SIGHT,,JM,,LESS THAN 2 MOS. FETAL LINES,,,,,,,,RDC Alive,YEAR ESTIMATE,2009-09-15,SIBLING BIRTH,,OTHER,SAS,,NO,,2006,
RDF,REDFOOT,True,MALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1994-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,
RDG,RADAGAST,True,MALE,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDL,RIDDLE,False,MALE,HIGH,PZL,,,,,,,,,,DAY ESTIMATE,2011-11-26,,,,,EK,,,,,,,,,,,MONTH ESTIMATE,2017-08-30,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,"RDL last bp was 20Jul17 by EK, first sighting not in bp was 10Oct17 by CBK",,about two weeks old
REA,REAL NOTCH,False,MALE,HIGH,,,,,D,,,,,,YEAR ESTIMATE,1972-11-01,1968-11-01,1972-11-01,SSSS,91CAT,EK,JM,,MONTH ESTIMATE,2015-05-01,SIGHTED OFTEN PREVIOUSLY,,DEFAULT DATE,EK,JM,,,,,,,,,,,2007,
RED,REDO,False,,,VAM,,,haplotype assigned based on haplotype of mother,G,,,,,,WEEK ESTIMATE,1997-11-01,,,INFANT FIRST SIGHT,,CF,KJW,CHECK SIGHT SHEET,MONTH ESTIMATE,2000-03-25,UNCERTAIN SURVIVAL STATUS PREWEANING,STOPPED SIGHTING POST WEANING,MIDPOINT,JM,,"CALF NOT SEEN SINCE 1999 AND MOM NOT SEEN AGAIN TILL 2000 THEREFORE, NOT SURE IF WEANED OR DEAD. Could have been on separation.",,,,,,JM,,DIED PREWEANING,"CALF NOT SEEN SINCE 1999 AND MOM NOT SEEN AGAIN TILL 2000 THEREFORE, NOT SURE IF WEANED OR DEAD",1998,
REG,REGGAE,False,FEMALE,HIGH,,,,haplotype assigned based on haplotype of offspring,D,,,,,,YEAR ESTIMATE,1976-11-01,,,REPRODUCTIVE AGE,91CAT,JM,,,,,,,,,,,,,,,,,,,,2006,
REI,REILLY,False,UNKNOWN,,OMA,,,,,,,,,,MONTH ESTIMATE,2016-11-01,2016-09-01,2016-12-01,INFANT FIRST SIGHT,SPRING SUMMER YOY,VF,,,,,,,,,,,,,,,,,,,,,
REN,RENO,False,UNKNOWN,,VEG,,,,,,,,,,MONTH ESTIMATE,2004-11-01,2004-10-15,2005-01-01,INFANT FIRST SIGHT,SPRING SUMMER YOY,JM,,No photos of calf at first sighting but photographied 8Jul05,MONTH ESTIMATE,2007-01-02,UNCERTAIN SURVIVAL STATUS PREWEANING,STOPPED SIGHTING POST WEANING,MIDPOINT,JM,,No photos of calf. Also would have been a bit young if weaned in 2007 - only 2 years old.,,,,,,,,,,,RENO was photographed 8Jul05 in RCC survey.  RENO seen by MK in 2006.
REP,REPO,False,FEMALE,HIGH,,,,maternal haplotype,A,,,,,,YEAR ESTIMATE,1976-11-01,1971-11-01,1976-11-01,SSSS,REPRODUCTIVE AGE,EK,JM,Has DF speckles in 1996 so could be born in late 1960s.,YEAR ESTIMATE,2006-11-01,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,EK,JM,One year gap in her sightings.,,,,,,,,,,2004,
RET,RETRO,False,,,REP,,,maternal relative,A,,,,,,DAY ESTIMATE,2004-09-30,,,INFANT FIRST SIGHT,,RCC,,"IN ECHELON, FIN FLOPPED TO RIGHT, LUMPY HEAD, DISTINCT FETAL LINES (RCC F001, 002)",,,UNCERTAIN SURVIVAL STATUS PREWEANING,MOTHER CALF NOT SIGHTED SINCE,,,,,,,,,,,,NO,,2004,
RFE,REFEREE,False,UNKNOWN,,UMP,,,,,,,,,,YEAR ESTIMATE,1999-11-01,1998-11-01,2000-11-01,,,JM,,,,,MOTHER CALF NOT SIGHTED SINCE,,,EK,JM,Neither UMP nor RFE seen since 26-Jun-02,,,,,,,,NO,,,older calf on survey; based on photos JM thinks 1-Nov-99 birth but could be as early as 1-Nov-98 or as late as 1-Nov-00
RGA,RIGATI,False,MALE,HIGH,RSO,LKI,HIGH,paternity based on snps,,,,,,,DAY ESTIMATE,2015-11-20,2015-11-18,2015-11-22,INFANT FIRST SIGHT,,JM,,"estimated one week, going distance 3 but disorganized, no CUPs, BP a few seconds, light and lumpy, mostly echelon, much younger than NVL",,,,,,,,,MONTH ESTIMATE,2020-05-01,REDUCED MC ASSOCIATION,SIBLING BIRTH,DEFAULT DATE,VF,JM,YES,"Rigati was last seen with Risotto on 2-Dec-19, and Arancino was born 15-Oct-20",,
RGM,RAGTIME,False,,,REG,,,maternal relative,D,,,,,,YEAR ESTIMATE,1992-11-01,,,GAP,,JM,,COULD BE CONFUSION B/W LISTEN AND RAGTIME. NOT SURE IF SAME OR DIFFERENT CALF.,,,SIGHTING RECORD POOR,BIRTH DATE UNCERTAIN,,JM,,,,,,,,,,NO,,1993,
RGO,RODRIGO,False,MALE,HIGH,GAB,,,maternal relative,E,,,,,,MONTH ESTIMATE,2009-11-01,2009-09-01,2009-12-01,,,EMP,,,,,,,,,,,MONTH ESTIMATE,2013-01-17,,,MIDPOINT,JM,,YES,,,estimated 8 mos old at first sighting
RGS,RIGHTEOUS,False,UNKNOWN,,GRV,,,maternal relative,D,,,,,,WEEK ESTIMATE,2012-11-01,2012-10-15,2012-11-15,,,JM,,,,,,,,,,,WEEK ESTIMATE,2017-06-08,,,MIDPOINT,EK,,YES,,,JM est 1yr; Entered by CBK
RHA,RHAPSODY,False,,,RHY,,,,D,,RHY,,,,DAY ESTIMATE,2022-04-07,2022-04-01,2022-04-14,INFANT FIRST SIGHT,,JM,,"Rhythm last seen 29-Nov-18 with newborn calf Ditty. Seen with newborn calf 24-Apr-22, obvious fetal lines, 2-3 weeks old. Was mostly echelon but not doing CUPs, spent a good amount of time in BP",,,,,,,,,,,,,,,,,,,
RHO,RHOMBUS,False,FEMALE,HIGH,SQU,REA,HIGH,SNPs and microsats same results.,A,,,,,,DAY ESTIMATE,1997-10-08,,,INFANT FIRST SIGHT,,MRH,,NEWBORN,,,,,,,,,DAY ESTIMATE,2002-08-18,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,"N, SEE JM FOLLOWS",2007,
RHY,RHYTHYM,False,FEMALE,HIGH,,,,,D,,,,,,YEAR ESTIMATE,1984-11-01,1980-11-01,1986-11-01,SSSS,REPRODUCTIVE AGE,JM,,1991 photo rhy as at least a juvenile (6y). PB thought RHY was a juv (called Teacher by him).,,,,,,,,,,,,,,,,,,2006,
RIC,RICKET,False,MALE,HIGH,,,,,A,,,,,,,1988-11-01,,,SSSS,,,,,YEAR ESTIMATE,2019-05-01,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,JM,VF,"Last seen 16-Jul-17, would be over 30 now and his alliance has been seen often since",,,,,,,,,,2007,
RID,RIDGES,False,MALE,HIGH,,,,,E,,,,,,YEAR ESTIMATE,1980-11-01,,,SSSS,91CAT,,,,,,,,,,,,,,,,,,,,,2007,
RIG,RIGHTY,False,,,,,,,,,,,,,YEAR ESTIMATE,1980-11-01,1972-11-01,1980-11-01,SSSS,,EK,JM,Posthoc speckle coding and size was bigger than SQL.,YEAR ESTIMATE,1998-05-01,OVER 3 YEARS,,DEFAULT DATE,JM,,Sighted often in a 2 year period. Not sighted after 1994.,,,,,,,,,,1994,
RIN,RINTINFIN,False,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1975-11-01,,,91CAT,ASSIGNED 10 YRS,,,Photos do not help with age estimation.,YEAR ESTIMATE,1990-05-01,RARELY SIGHTED,OVER 3 YEARS,DEFAULT DATE,EK,JM,No surveys but RCC saw sometime in 1986. We do not have the date. Not seen since but not distinctive so likely changed fin.,,,,,,,,,,,
RIP,RIPLEY,False,FEMALE,HIGH,BLI,,,,E,,,,,,MONTH ESTIMATE,1993-12-01,,,INFANT FIRST SIGHT,,JM,,3-4 MOS OLD; NO FETAL FOLDS - SMOOTH; NORMAL SURFACING TYPE; LONGEST BP=1-5MIN,,,,,,,,,MONTH ESTIMATE,1998-05-21,REDUCED MC ASSOCIATION,SIBLING BIRTH,MIDPOINT,JM,,YES,BASED ON LAST BP (SURVEY) AND BLI AND RIP SIGHTED ALONE (SURVEYS),2007,
RKL,RECKLESS,False,MALE,HIGH,RSH,RSP,LOW,Based on information from halfsiblings with known mothers,H,,,,,,MONTH ESTIMATE,2011-02-15,,,,,EK,,,,,,,,,,,MONTH ESTIMATE,2014-03-17,,,MIDPOINT,JM,,YES,,,estimated age√Ç¬†yoy but later yoy say same age as Drench
RKS,ROCKSTAR,False,UNKNOWN,,AMP,,,maternal relative,A,,,,,,MONTH ESTIMATE,2011-11-01,,,,,EK,,,,,,,,,,,MONTH ESTIMATE,2017-08-05,REDUCED MC ASSOCIATION,SIBLING BIRTH,MIDPOINT,EK,,YES,,,est 2 yrs by EK 22-Nov-13; Entered by CBK
RKT,ROCKETTE,False,FEMALE,HIGH,PEG,REA,HIGH,SNPs both parents.,A,,,,,,WEEK ESTIMATE,2012-03-23,2012-03-15,2012-03-30,,,JM,,,,,,,,,,,WEEK ESTIMATE,2015-06-18,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,weaning date is PEGs death date,,"new born -birth rings, swimming at Mum's head, √Ç¬†chin slapping-but the fin was firm and there was no ""wheel spinning""; lots of tail movement but little progress"
RLF,RALFU,False,FEMALE,HIGH,JNG,,,haplotype assigned based on haplotype of mother,A,,,,,,YEAR ESTIMATE,2002-05-01,,,GAP,,JM,,NO INFO ABOUT CALF,,,,,,,,,,2007-04-22,,,,JM,,YES,BIRTHDATE IS APPROXIMATE SINCE MOM WASN'T SEEN SINCE 01,2003,
RLL,ROLL,False,UNKNOWN,,TUK,,,haplotype assigned based on haplotype of mother,E,,,,,,WEEK ESTIMATE,2009-10-01,2009-09-15,2009-10-15,,,MAS,,,MONTH ESTIMATE,2011-02-13,,,MIDPOINT,SAS,,TUK sighted without RLL in 2011 and was with males in May 2011,,,,,,,,DIED PREWEANING,,,estimated 1-2 mos old. had fetal stripes but was smooth not lumpy
RMB,RUMBLE,False,,,,,,,,,,,,,YEAR ESTIMATE,1994-11-01,1992-11-01,1995-11-01,SSSS,,JM,,"first seen 7Sep99 but no age info, estimated large juvenile in 2003 and 2004, similar in size to DAL",,,,,,,,,,,,,,,,,,,
RNG,RINGO,False,MALE,HIGH,,,,,E,,,,,,YEAR ESTIMATE,1981-11-01,1980-11-01,1983-11-01,SSSS,ALLIANCE,EK,,"Seen first in 1996, in consortship by 2001, speckles high on lat side 2002.",YEAR ESTIMATE,2015-05-01,OVER 3 YEARS,,DEFAULT DATE,JM,VF,Last seen 14-Sep-12 and over 30yrs old,,,,,,,,,,2004,
RNN,RINNY,False,MALE,HIGH,,,,,A,,,,,,YEAR ESTIMATE,1986-11-01,,,,,,,,,,,,,,,,,,,,,,,,,2001,
RNV,RENOVATE,False,UNKNOWN,,VAM,,,haplotype assigned based on haplotype of mother,G,,,,,,MONTH ESTIMATE,2003-11-01,2003-09-01,2004-01-01,,,JM,,no age info at first sight but VAM sighted without calf in 2003 and VAM was herded in 2002,MONTH ESTIMATE,2005-02-13,DEAD PREWEANING,SIBLING BIRTH,MIDPOINT,JM,VF,"VAM had yoy RVV in 2006, VAM seen without RNV 10Jul05",,,,,,,,,,,no age info at first sight but VAM sighted without calf in 2003 and VAM was herded in 2002
RNY,ROONEY,True,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1983-11-01,1975-11-01,1985-11-01,SSSS,REPRODUCTIVE AGE,JM,,,,,,,,,,,,,,,,,,,,,rny had a few speckles in gen area up sides so estimating 20y based on 2003 photo. she had a large calf with her in 2003.
ROA,ROADIE,True,MALE,LOW,,,,,,,,,,,YEAR ESTIMATE,1987-11-01,,,ALLIANCE,,JM,,,,,,,,,,,,,,,,,,,,,
ROD,RANDYROD,False,,,MGG,,,,,,,,,,MONTH ESTIMATE,2005-11-01,,,SPRING SUMMER YOY,,JM,,YOY,YEAR ESTIMATE,2007-05-01,MOTHER CALF NOT SIGHTED SINCE,,DEFAULT DATE,EK,JM,neither MGG nor ROD sighted since 15-May-06,,,,,,,,NO,,2006,
ROG,ROGERS,False,,,DUU,,,,,,,,,,MONTH ESTIMATE,2000-11-01,,,GAP,,RCC,,CALLED YOY,MONTH ESTIMATE,2002-05-20,UNCERTAIN SURVIVAL STATUS PREWEANING,,MIDPOINT,EK,JM,"b-day unknown and DUU not seen 2 years, so calf could have weaned or died",,,,,,,,DIED PREWEANING,"B-DAY UNKNOWN AND DUU NOT SEEN 2 YEARS, SO CALF COULD HAVE WEANED OR DIED",2001,
ROL,ROLEYPOLE,False,MALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1981-11-01,1971-11-01,1981-11-01,,ASSIGNED 10 YRS,EK,JM,No good aging data.,YEAR ESTIMATE,2001-05-01,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,EK,JM,,,,,,,,,,,1999,
ROO,ROOTS,False,MALE,HIGH,TRE,,,,A,,,,,,MONTH ESTIMATE,1994-11-01,,,SPRING SUMMER YOY,,RCC,,ESTIMATED 2 YRS. OLD,YEAR ESTIMATE,2003-05-01,OVER 3 YEARS,,DEFAULT DATE,JM,VF,Last seen 8-Sep-01,WEEK ESTIMATE,1998-06-17,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,Y MIDPOINT BASED ON LAST BP (SURVEY) AND THEN TRE ALONE- TOGETHER OFF AND ON AFTER (SURVEYS),2001,
ROU,ROUNDER,False,MALE,HIGH,,,,,D,,,,,,YEAR ESTIMATE,1986-11-01,,,,,,,,,,,,,,,,,,,,,,,,,2006,
ROV,ROVER,False,,,,,,,,,,,,,,1981-11-01,,,91CAT,ASSIGNED 10 YRS,,,,,,,,,,,,,,,,,,,,,,
ROX,ROXANNE,False,FEMALE,LOW,,,,,,,,,,,YEAR ESTIMATE,1976-11-01,,,91CAT,ASSIGNED 10 YRS,,,Brought to beach by SSB in 1988. Photos do not help with age estimation.,YEAR ESTIMATE,1992-05-01,RARELY SIGHTED,,DEFAULT DATE,EK,JM,No surveys. Brought into beach by SSB in 1988. Not seen since but not distinctive so likely changed fin.,,,,,,,,,,,
RPC,RIP CURL,False,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1986-11-01,1983-11-01,1986-11-01,REPRODUCTIVE AGE,SSSS,EK,,In 2008 no specks on DF so reproductive age probably right.,,,,,,,,,,,,,,,,,,,
RPL,RUPAUL,False,MALE,HIGH,,,,,E,,,,,,YEAR ESTIMATE,1989-11-01,,,,,,,,,,,,,,,,,,,,,,,,,2004,
RPR,RIPPER,False,UNKNOWN,,,,,,,,,,,,YEAR ESTIMATE,1982-11-01,1972-11-01,1982-11-01,SSSS,,EK,JM,Had quite a few DF speckles 2002.,YEAR ESTIMATE,2006-05-01,OVER 3 YEARS,RARELY SIGHTED,DEFAULT DATE,EK,JM,Peron dolphin but distinctive.,,,,,,,,,,,
RSH,RASH,False,FEMALE,HIGH,BLB,,,,H,,,,,,YEAR ESTIMATE,1985-11-01,1984-11-01,1986-11-01,SSSS,REPRODUCTIVE AGE,EK,JM,Genetics assigns BLB as mother and age matches up with RSH siblings. Likely to be BLBs first calf.,YEAR ESTIMATE,2017-05-01,OVER 3 YEARS,,DEFAULT DATE,JM,VF,Last seen 9-Sep-15 and would be over 30yrs old now,YEAR ESTIMATE,1989-05-01,,,DEFAULT DATE,JM,,NO,No sightings but genetics makes BLB the mother and with RSH sibling births must have been weaned before SME birth in 1989.,2007,
RSO,RISOTTO,False,FEMALE,HIGH,GNO,,,,,,,,,,YEAR ESTIMATE,2002-11-01,2001-11-01,2003-11-01,,,JM,,No size information; assigned bday based on photos and SSSS,,,,,,,,,MONTH ESTIMATE,2007-06-01,,,MIDPOINT,JM,,NO,,,
RSP,RASP,False,MALE,HIGH,,,,,H,,,,,,YEAR ESTIMATE,1985-11-01,1981-11-01,1987-11-01,ASSIGNED 10 YRS,SSSS,EK,JM,Has some lateral speckles high in 2001. Possibly as old as 20 then.,,,,,,,,,,,,,,,,,,2007,
RSR,ROSE RED,False,UNKNOWN,,SNW,,,,,,,,,,YEAR ESTIMATE,2002-11-01,2001-11-01,2002-11-01,,,JM,,,,,UNCERTAIN SURVIVAL STATUS PREWEANING,,,,,,,,,,,,,NO,,,JM estimated less than 2 years based on photo
RTA,RASTA,False,UNKNOWN,,REG,,,maternal relative,D,,,,,,MONTH ESTIMATE,1995-11-01,1995-09-01,1996-01-01,INFANT FIRST SIGHT,SPRING SUMMER YOY,JM,,PB said YOY at 1st sight but no other details.,YEAR ESTIMATE,1998-05-01,,SIBLING BIRTH,DEFAULT DATE,JM,,Reggae estimated to have gotten pregnant with Rumba by Nov97 and could have weaned RTA in 1998.,,,,,,,,,,,We delayed on adding RASTA because of confusion with PB data which is not in the survey file. Need to add PB data as miscellaneous observations.
RTB,ROOTBEER,False,UNKNOWN,,SAS,,,haplotype assigned based on haplotype of mother,A,,,,,,DAY ESTIMATE,2009-10-26,2009-10-24,2009-10-31,,,EK,,,MONTH ESTIMATE,2011-03-15,,,MIDPOINT,SAS,,,,,,,,,,DIED PREWEANING,,,"lumpy, trailing edge wavy, all ech and moving fast so probably a week or less although estimate given is 1-2 wks."
RTM,RITA MAE,False,UNKNOWN,,LAY,,,,,,,,,,MONTH ESTIMATE,2003-11-01,,,,,JM,,,,,UNCERTAIN SURVIVAL STATUS PREWEANING,GAP,,,,,,,,,,,,NO,,,
RUD,RUDOLPH,False,UNKNOWN,,SCS,,,,,,,,,,YEAR ESTIMATE,2008-11-01,,,,,JM,,"calf looks older, not a yoy, ~1.5 years",,,STOPPED SIGHTING POST WEANING,,,,,,MONTH ESTIMATE,2013-08-28,,GAP,MIDPOINT,JM,,NO,Likely weaned in 2013.,,
RUF,RUFUS,False,FEMALE,HIGH,,,,,H,,,,,,YEAR ESTIMATE,1987-11-01,1982-11-01,1990-11-01,ASSIGNED 10 YRS,,EK,JM,Photos not good enough to improve age estimate.,YEAR ESTIMATE,2006-05-01,OVER 3 YEARS,,DEFAULT DATE,EK,JM,Sponger so we looked for RUF. Distinctive too.,,,,,,,,,,2003,
RUM,RUMBA,False,MALE,HIGH,REG,,,,D,,,,,,YEAR ESTIMATE,1998-11-01,,,GAP,,JM,,"FOLLOW OF RUMBA REGGAE FROM SKIPJACK POINT18-OCT-99 (JM); IF MEY BORN 2001, THEN BORN LATE 1998? REMEMBER THINKING WAS YOY- BUT THEN WOULD BE 3Y INTERVAL.",YEAR ESTIMATE,2007-05-01,OVER 3 YEARS,,DEFAULT DATE,EK,JM,Could have changed fin.,YEAR ESTIMATE,2001-10-01,REDUCED MC ASSOCIATION,,,JM,,YES,DATE IS BASED ON LAST FOLLOW OF RUM AND FIRST FOLLOW OF MEY - SINCE I DON'T HAVE ALL THE PERON DATA,2003,
RVV,REVIVE,False,UNKNOWN,,VAM,,,haplotype assigned based on haplotype of mother,G,,,,,,MONTH ESTIMATE,2006-01-01,2005-12-01,2006-02-01,,,JM,,,MONTH ESTIMATE,2007-04-26,DEAD PREWEANING,,MIDPOINT,EK,JM,,,,,,,,,NO,,,yoy; JM estimated 7-10 months based on photos
RYD,RYDER,False,MALE,LOW,,,,,,,,,,,YEAR ESTIMATE,1991-11-01,,,ASSIGNED 10 YRS,,JM,,,,,,,,,,,,,,,,,,,,,"23-Jul-02 RCC said in group of ""male youngers"""
SAL,SALSA,False,,,,,,,,,,,,,,1978-11-01,,,91CAT,ASSIGNED 10 YRS,,,,,,,,,,,,,,,,,,,,,,
SAM,SAMANTHA,False,,,,,,,,,,,,,,1983-11-01,,,ASSIGNED 10 YRS,,,,,,,,,,,,,,,,,,,,,,1993,
SAR,STARTLE,False,FEMALE,HIGH,SHC,,,haplotype assigned based on haplotype of mother,A,,,,,,DAY ESTIMATE,2007-01-15,,,INFANT FIRST SIGHT,,DIC,,NEED DIC NOTES,WEEK ESTIMATE,2011-05-20,SHARK ATTACK,SIGHTED OFTEN PREVIOUSLY,OTHER,JM,,"shark attack 18th April 2011, missing top part of dorsal fin. She was lethargic and on her own often.",MONTH ESTIMATE,2011-03-01,,,MIDPOINT,JM,,YES,check DIC data,2007,
SAS,SASSAFRAS,False,FEMALE,HIGH,,,,,A,,,,,,YEAR ESTIMATE,1995-11-01,1994-11-01,1995-11-01,SSSS,,EK,JM,,MONTH ESTIMATE,2014-05-01,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,EK,JM,Disappeared with her yoy cinnamon,,,,,,,,,,2007,
SAU,SAMU,False,MALE,HIGH,PUC,,,haplotype assigned based on haplotype of mother,E,,,,,,DAY ESTIMATE,2009-12-12,2009-12-11,2009-12-12,,,DIC,EK,flopped fin. puc seen evening before. obviously hrs old the morning of the 12th.,,,,,,,,,DAY ESTIMATE,2018-03-02,REDUCED MC ASSOCIATION,,MIDPOINT,EK,,YES,,,
SBA,SIMBA,False,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1989-11-01,1968-11-01,1990-11-01,REPRODUCTIVE AGE,,JM,,,,,,,,,,,,,,,,,,,,,
SBB,STEBBINS,False,MALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1991-11-01,,,ASSIGNED 10 YRS,,JM,,,,,,,,,,,,,,,,,,,,,"23-Jul-02 RCC said in group of ""male youngers"""
